Date,Time,Hour,Minute,Second,Air Temp [C],TAS [m/s],Pres Alt [m],.03mm,.05mm,.07mm,.09mm, .11mm,.13mm,.15mm,.17mm,.20mm,.24mm,.28mm,.32mm,.36mm,.40mm,.44mm,.48mm,.55mm,.65mm,.75mm,.85mm,.95mum,1.1mm,1.3mm,1.5mm,.7mm,1.9mm,22.5mm,27.5mm
427,37022,10,17,2.16,5.2848,86.062,1345.2,2.03E+05,4.94E+05,3.27E+05,3.42E+05,1.25E+05,1.24E+05,17600,35000,26000,8540,8430,0,0,0,0,0,0,0,0,2820,0,1320,1250,0,0,0,0,0
427,37397,10,23,17.16,5.2426,84.537,1343,4.31E+05,4.09E+05,3.88E+05,3.12E+05,72800,1.27E+05,1.44E+05,53500,26500,8700,17200,8460,8350,0,0,0,3140,0,0,2870,0,0,0,1210,0,0,411,0
427,37407,10,23,27.16,5.2876,83.95,1343.2,4.34E+05,3.75E+05,1.86E+05,2.40E+05,1.83E+05,72800,1.27E+05,1.26E+05,44400,17500,17300,0,0,0,0,0,0,3070,0,0,0,1350,0,0,0,0,0,0
427,37416,10,23,36.16,5.2109,84.514,1344.6,3.00E+05,3.72E+05,2.96E+05,1.65E+05,2.00E+05,90400,18000,0,17600,8700,34300,0,0,0,0,0,0,0,0,0,0,0,1270,0,0,0,0,0
427,37418,10,23,38.16,5.1709,85.142,1345.2,4.47E+05,4.80E+05,2.20E+05,2.18E+05,1.08E+05,89700,89100,17700,26300,8630,0,16800,8290,8180,0,7980,0,0,0,0,0,0,0,0,1150,0,0,0
427,37419,10,23,39.16,5.1439,85.47,1344.6,4.82E+05,6.44E+05,3.65E+05,1.09E+05,2.52E+05,1.79E+05,1.24E+05,52900,26200,8600,0,0,0,8150,0,0,0,0,0,0,0,0,1260,0,0,0,0,0
427,37425,10,23,45.16,5.2619,85.434,1346.7,3.15E+05,5.71E+05,3.11E+05,72600,1.26E+05,1.43E+05,71000,17600,34900,25800,0,8370,0,0,0,0,0,0,0,0,0,1330,0,0,0,0,0,0
427,37426,10,23,46.16,5.2886,85.434,1346.3,5.19E+05,5.52E+05,2.01E+05,1.81E+05,72100,71500,35500,52900,0,8600,0,0,0,0,0,0,0,0,0,0,0,1330,0,1200,0,0,0,0
510,83178,23,6,18.07,11.624,93.675,2522.5,16900,33600,0,0,0,48900,16200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,999,742,1010
510,83195,23,6,35.07,12.669,98.685,2437.7,1.93E+05,3.99E+05,94900,2.20E+05,1.09E+05,1.08E+05,61500,30500,30200,37200,22000,21700,7150,0,0,0,0,0,0,4930,2390,1150,0,0,0,0,352,640
520,56124,15,35,24.09,5.7342,99.279,3105.6,2.55E+05,4.91E+05,3.15E+05,2.03E+05,1.24E+05,92300,1.07E+05,60700,67600,14800,0,0,7110,0,0,0,0,0,0,0,2380,0,0,0,0,0,0,0
520,56125,15,35,25.09,5.7836,99.093,3105.4,1.92E+05,3.97E+05,1.58E+05,2.03E+05,1.55E+05,1.54E+05,1.53E+05,91200,15000,7420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
520,56126,15,35,26.09,5.7867,99.269,3104.9,2.39E+05,3.96E+05,3.78E+05,2.19E+05,1.09E+05,77000,0,30400,22500,7410,0,0,7110,0,0,0,0,0,0,0,2380,1140,1090,0,0,0,0,0
520,56127,15,35,27.09,5.8592,98.676,3105,3.21E+05,5.58E+05,2.85E+05,2.04E+05,1.72E+05,1.39E+05,76900,45800,45300,7450,0,0,0,7060,0,0,0,0,0,0,0,0,0,0,0,0,0,0
530,75202,20,53,22.06,20.394,92.8,1264.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.49E+06,5.60E+05,4.41E+05,7.63E+05,40200,0,0,7710,0,0,0,0,0,0
530,75218,20,53,38.06,21.03,97.472,1221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.94E+06,7.84E+05,7.63E+05,1.19E+06,0,15100,0,0,7240,0,0,0,0,0
530,75219,20,53,39.06,21.067,97.248,1218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.60E+06,1.02E+06,7.02E+05,1.35E+06,23000,7560,0,0,7260,0,0,0,0,0
530,75235,20,53,55.06,21.428,97.047,1171.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.71E+06,9.92E+05,7.19E+05,1.15E+06,30700,0,0,7370,0,0,0,0,0,0
530,75240,20,54,0.06,21.607,94.82,1162.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.38E+06,1.05E+06,1.04E+06,1.91E+06,62900,0,0,0,7450,0,0,0,0,0
530,75242,20,54,2.06,21.471,95.008,1161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.06E+06,9.65E+05,8.30E+05,1.43E+06,94200,15500,0,7530,0,0,0,0,0,0
530,75245,20,54,5.06,21.571,94.642,1153.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.85E+06,7.59E+05,5.77E+05,1.03E+06,39400,7770,0,0,7460,0,0,0,0,0
